lea,english,maths,science
City of London                ,96.6,79.3,93.1
Richmond upon Thames          ,86.9,82.5,94.0
Wokingham                     ,84.9,81.2,91.8
Rutland                       ,82.7,81.8,92.5
Kensington and Chelsea        ,84.2,78.8,92.4
Windsor and Maidenhead        ,82.5,79.0,91.7
Bracknell Forest              ,82.4,77.5,92.5
Bromley                       ,83.4,78.2,90.5
Surrey                        ,81.6,77.9,91.5
Havering                      ,80.5,78.0,90.1
Sefton                        ,80.0,78.8,89.8
Harrow                        ,82.1,76.7,89.6
Barnet                        ,80.9,78.5,88.8
Sutton                        ,81.0,76.7,90.1
Trafford                      ,80.2,77.5,90.1
Kingston upon Thames          ,82.6,77.0,88.1
Solihull                      ,79.3,77.5,90.5
North Yorkshire               ,80.2,77.0,89.7
Warrington                    ,80.3,77.6,89.0
Hertfordshire                 ,80.7,76.4,89.7
Cheshire                      ,79.5,77.1,89.5
Buckinghamshire               ,79.9,77.1,88.7
Gloucestershire               ,77.8,76.8,90.8
St. Helens                    ,79.0,76.4,89.5
Hillingdon                    ,80.1,74.5,90.0
Cambridgeshire                ,79.3,75.4,89.5
Westminster                   ,79.4,77.1,87.2
Bath and North East Somerset  ,78.3,75.8,88.9
Stockport                     ,78.6,75.9,88.0
Leicestershire                ,78.8,74.5,89.2
Hampshire                     ,77.8,74.4,90.0
Shropshire                    ,77.8,74.8,89.6
Warkwickshire                 ,77.4,74.6,90.1
Hammersmith and Fulham        ,78.9,75.8,87.2
Bury                          ,77.4,74.9,89.0
Gateshead                     ,75.7,76.5,89.0
South Gloucestershire         ,77.6,74.8,88.9
Derbyshire                    ,77.4,74.7,88.0
North Somerset                ,76.5,74.1,89.3
West Sussex                   ,77.3,72.9,89.6
Camden                        ,77.6,73.9,88.1
East Riding of Yorkshire      ,76.1,74.4,89.1
Cumbria                       ,75.8,74.4,89.4
Redbridge                     ,78.4,73.6,87.5
Dorset                        ,75.7,73.5,90.0
Essex                         ,77.6,73.4,88.2
Herefordshire                 ,76.2,73.5,89.0
Wirral                        ,76.6,73.7,88.3
North Tyneside                ,76.7,75.7,86.3
Lancashire                    ,75.9,75.2,87.4
Leeds                         ,76.0,74.6,87.5
Nottingshamshire              ,76.1,73.7,87.8
Sotckton-on-Tees              ,76.1,74.4,86.9
Durham                        ,74.8,75.0,87.6
Devon                         ,75.0,73.7,88.7
Poole                         ,75.2,71.4,90.5
Bournemouth                   ,78.4,70.8,87.8
Bolton                        ,75.2,75.4,86.3
Calderdale                    ,75.3,73.9,87.7
Isles of Scilly               ,59.1,86.4,90.9
Ealing                        ,77.1,73.4,85.7
West Berkshire                ,76.3,72.5,87.4
Lincolnshire                  ,76.8,72.6,86.9
Staffordshire                 ,75.1,73.0,87.9
Wigan                         ,73.8,75.2,86.9
Northumberland                ,75.2,72.3,88.0
Northamptonshire              ,76.2,71.5,87.7
Bedfordshire                  ,76.5,71.1,87.6
Darlington                    ,74.0,73.4,87.8
Oxfordshire                   ,75.5,72.6,86.8
Enfield                       ,77.7,72.4,84.7
Somerset                      ,74.0,72.2,88.4
Hounslow                      ,75.9,73.1,85.4
Tameside                      ,74.6,72.5,86.9
York                          ,75.3,73.7,84.6
East Sussex                   ,74.3,72.2,87.2
Croydon                       ,77.6,70.8,85.2
Torbay                        ,75.6,72.5,85.3
Wiltshire                     ,75.1,71.5,86.7
Worcestershire                ,76.2,69.9,86.8
Norfolk                       ,75.3,71.3,86.0
Brent                         ,77.1,72.0,83.4
South Tyneside                ,71.7,74.7,85.9
Cornwall                      ,74.0,72.4,85.9
Peterborough                  ,73.4,71.8,87.0
Southend-on-Sea               ,74.2,71.2,86.0
Halton                        ,73.7,71.1,86.3
Swindon                       ,72.9,71.9,86.2
Wakefield                     ,72.9,72.2,85.8
Derby                         ,74.3,70.7,85.4
Brighton and Hove             ,74.5,70.1,85.8
Suffolk                       ,75.4,69.0,86.1
Salford                       ,74.1,72.5,83.8
North East Lincolnshire       ,72.3,71.7,86.3
Bexley                        ,76.6,69.3,84.0
Redcar and Cleveland          ,73.3,70.5,86.0
North Lincolnshire            ,73.2,69.8,86.2
Doncaster                     ,72.2,70.5,86.1
Telford and Wrekin            ,71.6,69.8,87.5
Tower Hamlets                 ,74.0,71.4,83.3
Slough                        ,75.7,69.8,82.8
Plymouth                      ,71.8,71.2,85.1
Oldham                        ,72.3,70.7,84.7
Sunderland                    ,71.3,71.1,85.0
Kirklees                      ,72.5,70.1,84.6
Blackpool                     ,71.6,70.7,84.7
Kent                          ,72.7,69.6,84.6
Lweisham                      ,73.3,69.5,83.8
Merton                        ,75.0,66.4,85.1
Middlesbrough                 ,71.6,71.1,83.4
Knowsley                      ,71.0,69.2,85.7
Dudley                        ,72.2,68.6,84.9
Wandsworth                    ,75.3,67.4,82.9
Barking and Dagenham          ,71.2,68.7,85.6
Blackburn with Darwen         ,71.0,71.6,82.6
Coventry                      ,71.9,68.7,83.7
Hartlepool                    ,69.6,70.6,83.9
"Kingston upon Hull, City of   ",66.2,71.2,85.6
Portsmouth                    ,68.0,69.1,85.6
Rotherham                     ,69.4,68.2,84.3
Liverpool                     ,71.0,67.8,82.9
Isle of Wight                 ,67.6,66.8,86.8
Luton                         ,72.4,65.8,83.0
Milton Keynes                 ,68.6,67.6,84.5
Medway                        ,69.8,67.3,83.1
Reading                       ,71.5,64.8,83.8
Lambeth                       ,71.8,66.9,81.0
Birmingham                    ,69.6,67.2,82.4
Sheffield                     ,69.3,67.1,82.5
Waltham Forest                ,69.7,68.4,80.6
Walsall                       ,71.1,65.2,82.3
Greenwich                     ,69.9,66.5,81.7
Islington                     ,69.4,67.7,80.3
Rochdale                      ,68.4,67.9,80.5
Wolverhampton                 ,69.5,64.6,82.5
Thurrock                      ,67.1,65.2,84.1
Newham                        ,68.5,66.5,80.5
Manchester                    ,67.8,66.9,80.8
Stoke-on-Trent                ,67.7,65.5,82.3
Southampton                   ,66.2,64.5,84.1
Newcastle upon Tyne           ,66.9,66.0,80.9
Bradford                      ,68.3,65.3,79.7
"Bristol, City of              ",66.7,64.9,81.0
Barnsley                      ,64.8,65.2,81.2
Haringey                      ,67.3,65.7,77.7
Southwark                     ,70.5,62.5,77.6
Nottingham                    ,63.2,65.2,80.5
Leicester                     ,65.3,63.4,79.5
Sandwell                      ,65.4,63.5,78.8
Hackney                       ,63.0,59.2,75.0
